id_utilisateur,id_concert,id_artiste,note,commentaire
973,898,898,3,"Pas mal du tout, cha s'écoute tranquille, iétot simpa."
213,293,293,2,"Bof, cha n'm'a pas trop plu, ch'étot pas tip top."
698,688,688,5,"Véritablemint bin, l'concert iétot vraimint bin, j'ai kiffé à mort !"
103,893,893,1,"Vraimint pas bin, cha n'té pas du tout bin, j'suis déçu..."
723,993,993,4,"Oh ouais, l'concert iétot vraimint bin, j'suis trop content !"
8,313,313,3,"Pas mal du tout, cha s'écoute tranquille, iétot simpa."
33,258,258,2,"Bof, cha n'm'a pas trop plu, ch'étot pas tip top."
728,858,858,5,"Véritablemint bin, l'concert iétot vraimint bin, j'suis fan !"
928,338,338,1,"Vraimint pas bin, cha n'té pas du tout bin, j'suis déçu..."
618,243,243,4,"Oh ouais, l'concert iétot vraimint bin, j'suis trop happy !"
103,968,968,3,"Pas mal du tout, cha s'écoute tranquille, iétot simpa."
743,623,623,2,"Bof, cha n'm'a pas trop plu, ch'étot pas tip top."
768,518,518,5,"Véritablemint bin, l'concert iétot vraimint bin, j'ai adoré !"
108,943,943,4,"Trop bien l'concert, une ambiance de ouf, j'ai kiffé !"
98,28,28,3,"Pas mal du tout, ça s'écoute tranquille, c'était cool."
673,798,798,2,"Bof, j'ai pas trop aimé, c'était moyen."
773,788,788,1,"Ah non, c'était vraiment pas bien, je suis déçu..."
188,653,653,4,"Oh ouais, l'concert était trop bien, j'ai adoré !"
308,908,908,3,"Pas mal du tout, ça passe tranquille, c'était sympa."
748,373,373,2,"Bof, j'ai pas trop kiffé, c'était moyen."
948,678,678,5,"Trop bien, l'concert était vraiment top, j'ai trop aimé !"
233,313,313,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
868,858,858,4,"Oh ouais, l'concert était trop bien, j'étais trop happy !"
228,168,168,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
903,538,538,2,"Bof, j'ai pas trop aimé, c'était moyen."
888,838,838,5,"Trop bien, l'concert était vraiment top, j'étais trop fan !"
783,133,133,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
313,613,613,4,"Oh ouais, l'concert était trop bien, j'me suis trop éclaté !"
358,48,48,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
668,8,8,2,"Bof, j'ai pas trop kiffé, c'était moyen."
98,878,878,5,"Trop bien, l'concert était vraiment top, j'ai trop kiffé à mort !"
338,13,13,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
653,758,758,4,"Oh ouais, l'concert était trop bien, j'étais trop content !"
93,173,173,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
743,708,708,2,"Bof, j'ai pas trop aimé, c'était moyen."
478,578,578,5,"Trop bien, l'concert était vraiment top, j'étais trop fan !"
218,308,308,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
613,438,438,4,"Oh ouais, l'concert était trop bien, j'étais trop happy !"
688,113,113,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
398,273,273,2,"Bof, j'ai pas trop kiffé, c'était moyen."
223,773,773,5,"Trop bien, l'concert était vraiment top, j'ai adoré !"
98,298,298,5,"Granz concert, une ambience incroiable !"
808,23,23,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
543,188,188,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
618,983,983,1,"Hélas, cela n'estoit vraiment pas bien, je suis desplaisi..."
908,273,273,4,"Oh ouais, le concert estoit trop bien, j'ai adoré !"
743,668,668,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
143,88,88,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
958,13,13,5,"Trop bien, le concert estoit vraiment excellent, j'ai trop aimé !"
623,28,28,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
58,168,168,4,"Oh ouais, le concert estoit trop bien, j'estois trop joyeux !"
33,498,498,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
623,203,203,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
98,883,883,5,"Trop bien, le concert estoit vraiment excellent, j'estois trop fan !"
973,233,233,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
778,518,518,4,"Oh ouais, le concert estoit trop bien, je me suis trop amusé !"
813,863,863,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
313,33,33,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
618,3,3,5,"Trop bien, le concert estoit vraiment excellent, j'ai trop aimé à mort !"
923,388,388,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
238,208,208,4,"Oh ouais, le concert estoit trop bien, j'estois trop content !"
128,33,33,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
748,933,933,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
558,153,153,5,"Trop bien, le concert estoit vraiment excellent, j'estois trop fan !"
868,698,698,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
918,588,588,4,"Oh ouais, le concert estoit trop bien, j'estois trop joyeux !"
383,663,663,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
643,173,173,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
233,913,913,5,"Trop bien, le concert estoit vraiment excellent, j'ai adoré !"
363,318,318,5,X'rak zolok srunok!
963,593,593,3,Vlok'esh zorgon glixar.
938,688,688,2,Blorgor mesh'nok xaltrex.
703,308,308,1,Gnashor vrex plaxor zorg!
978,733,733,4,Nexar glizok plorsh vralor.
313,618,618,3,Xlorgor klentrex snoxor mosh.
458,458,458,2,Shlonk blorgor glixar xentar.
448,493,493,5,Zorgor klentar vralor plaxar!
218,283,283,1,Glixor plorgor vrex zornok!
308,403,403,4,Xlentar vrek shlorxor klaxor!
798,778,778,3,Mesh'nok plaxar klorgor shlonk.
473,723,723,2,Glixor blorxor zorgor vrex.
398,263,263,5,Plorgor klaxar zornok vralor!
93,258,258,1,Vrek shlorxor zorgor plaxor!
163,778,778,4,Xlorgor vrek klaxar plentrex!
558,928,928,3,Mesh'nok plaxor klorgor shlonk.
928,458,458,2,Glixor blorxor zorgor vrex.
853,143,143,5,Plorgor klaxar zornok vralor!
373,113,113,1,Vrek shlorxor zorgor plaxor!
553,603,603,4,Xlorgor vrek klaxar plentrex!
278,843,843,3,Mesh'nok plaxor klorgor shlonk.
438,83,83,2,Glixor blorxor zorgor vrex.
688,158,158,5,Plorgor klaxar zornok vralor!
878,743,743,1,Vrek shlorxor zorgor plaxor!
338,88,88,4,Xlorgor vrek klaxar plentrex!
423,548,548,3,Mesh'nok plaxor klorgor shlonk.
28,738,738,2,Glixor blorxor zorgor vrex.
303,318,318,5,Plorgor klaxar zornok vralor!
978,453,453,5,Bonzour konser sa ti top !
478,623,623,3,"Pa ti mal, me pa ti top nonpli."
883,513,513,2,"Enn ti dezoutwar, pa tro bon."
818,488,488,1,"Traka, pa ti bon del tou!"
893,193,193,4,"Bonn zistwar, enn performans bon!"
863,988,988,3,"Ti kor, pa tro nanye."
763,128,128,2,"Mo ti pe atann plis, dezoutwar."
903,438,438,5,Bonzour konser sa ti extra!
223,463,463,1,"Pa ti byen, del dezepsiyon."
238,243,243,4,"Bonn zistwar, enn bann moman kapivan!"
578,243,243,3,"Ti kouma sa, pa tro serye."
18,223,223,2,"Pa ti bon, ti pe atann plis."
43,898,898,5,"Zisann, enn performans extra!"
198,993,993,1,Pa ti bon del tou!
178,873,873,4,"Bonn zistwar, enn moman kapivan!"
413,283,283,3,"Ti kouma sa, pa tro nanye."
298,898,898,2,"Pa ti byen, del dezepsiyon."
353,848,848,5,"Zisann, enn performans extra!"
403,688,688,1,Pa ti bon del tou!
928,203,203,4,"Bonn zistwar, enn moman kapivan!"
68,768,768,3,"Ti kouma sa, pa tro serye."
953,468,468,2,"Pa ti byen, ti pe atann plis."
343,188,188,5,"Zisann, enn performans extra!"
268,878,878,1,Pa ti bon del tou!
398,988,988,4,"Bonn zistwar, enn moman kapivan!"
523,403,403,3,"Ti kouma sa, pa tro nanye."
28,153,153,2,"Pa ti byen, del dezepsiyon."
773,538,538,5,"Zisann, enn performans extra!"
728,813,813,5,"Mnawar khsousa, jawwak al-ajwaa!"
333,888,888,3,"Ma byesta7o, bas ma byemshi 3laiya."
593,228,228,2,"La7meh sa2le, mish bhebha ktir."
798,863,863,1,"Sa3b, ma keno 7elo kteer!"
388,488,488,4,"Sira sa7bi, performance kteer 7elweh!"
128,23,23,3,"Btzakkar, mish ktir bhebha."
88,608,608,2,"Keno btet7assel ktir, ma keno 3ajbe."
28,118,118,5,"Mnawar khsousa, 7elweh ktir!"
618,293,293,1,"Ma keno 7elo, byemshi 3laiya."
418,773,773,4,"Sira sa7bi, lahza ktir 3ajbe!"
53,408,408,3,"Btzakkar, mish ktir serye."
663,908,908,2,"Ma keno 7elo, keno byet7assel ktir."
478,988,988,5,"Mnawar khsousa, performance 7elweh!"
523,663,663,1,Ma keno 7elo kteer!
643,548,548,4,"Sira sa7bi, lahza ktir 3ajbe!"
923,363,363,3,"Btzakkar, mish ktir bhebha."
863,133,133,2,"Ma keno 7elo, byemshi 3laiya."
618,833,833,5,"Mnawar khsousa, performance 7elweh!"
668,953,953,1,Ma keno 7elo kteer!
298,758,758,4,"Sira sa7bi, lahza ktir 3ajbe!"
963,833,833,3,"Btzakkar, mish ktir serye."
18,503,503,2,"Ma keno 7elo, keno byet7assel ktir."
658,418,418,5,"Mnawar khsousa, performance 7elweh!"
223,408,408,1,Ma keno 7elo kteer!
333,583,583,4,"Sira sa7bi, lahza ktir 3ajbe!"
653,283,283,3,"Btzakkar, mish ktir bhebha."
688,793,793,2,"Ma keno 7elo, byemshi 3laiya."
573,433,433,5,"Mnawar khsousa, performance 7elweh!"
938,738,738,5,Anbians-ay! Anbians-ay inoubliyab!
828,383,383,3,"Pa té ni anpil choz, men pa té mové nonpli."
838,668,668,2,Manjé-la tèlman sa ka fré mal.
208,553,553,1,"Pa té ni anyen, sa pa té bèl menm!"
913,23,23,4,"Sé vréman bon, sa ka ba anpil laplèzi!"
348,738,738,3,"Sa ka fè swen, men sa pa ka trap cho."
33,553,553,2,"Sa té lévé anpil, men sa pa té twò bon."
98,493,493,5,Anbians-ay! Anbians-ay sa ka ba anpil laplèzi!
613,103,103,1,"Sa pa té bèl, li té pa pli bon nonpli."
243,63,63,4,"Sé vréman bon, anpil mizik sa te ka ba!"
993,123,123,3,"Sa ka fè swen, men sa pa ka trap cho."
938,813,813,2,"Sa pa té bèl, sa té lévé anpil nonpli."
583,298,298,5,Anbians-ay! Performance a té vréman bon!
228,913,913,1,Sa pa té bèl nonpli!
383,183,183,4,"Sé vréman bon, anpil laplèzi sa té ka ba!"
583,453,453,3,"Sa ka fè swen, men sa pa té ka trap cho."
438,448,448,2,"Sa pa té bèl, li té pa pli bon nonpli."
373,78,78,5,Anbians-ay! Performance a té vréman bon!
498,858,858,5,"Amazing atmosphere, truly unforgettable!"
863,568,568,3,"Nothing special, but not bad either."
223,878,878,2,The food was quite disappointing.
903,13,13,1,"There wasn't much, it wasn't great either."
598,973,973,4,"It's really good, very enjoyable!"
648,453,453,3,"It's decent, but nothing outstanding."
703,283,283,2,"It was overhyped, but not that great."
863,908,908,5,"Amazing atmosphere, it's a lot of fun!"
138,773,773,1,"It wasn't great, it wasn't even good."
223,128,128,4,"It's really good, the music was great!"
718,888,888,3,"It's decent, but nothing extraordinary."
473,778,778,2,"It wasn't great, it was overrated."
983,478,478,5,"Amazing performance, truly outstanding!"
913,363,363,1,It wasn't great at all!
588,418,418,4,"It's really good, it gave a lot of pleasure!"
203,988,988,3,"It's decent, but it didn't stand out much."
223,333,333,2,"It wasn't great, it wasn't even good."
718,823,823,5,"Amazing performance, truly outstanding!"
833,453,453,5,"¡Una atmósfera increíble, realmente inolvidable!"
673,608,608,3,"Nada especial, pero tampoco malo."
373,363,363,2,La comida fue bastante decepcionante.
493,253,253,1,"No había mucho, tampoco fue genial."
498,398,398,4,"¡Está realmente bien, muy disfrutable!"
88,723,723,3,"Es decente, pero nada excepcional."
968,453,453,2,"Estuvo sobrevalorado, pero no fue tan bueno."
88,138,138,5,"¡Una atmósfera increíble, es muy divertido!"
933,613,613,1,"No fue genial, ni siquiera fue bueno."
548,318,318,4,"Está realmente bien, ¡la música estuvo genial!"
848,328,328,3,"Es decente, pero nada extraordinario."
178,698,698,2,"No fue genial, estuvo sobrevalorado."
953,683,683,5,"¡Increíble actuación, realmente sobresaliente!"
313,573,573,1,No fue genial en absoluto.
828,353,353,4,"Está realmente bien, ¡dio mucho placer!"
103,778,778,3,"Es decente, pero no destacó mucho."
43,138,138,2,"No fue genial, ni siquiera fue bueno."
448,633,633,5,"¡Increíble actuación, realmente sobresaliente!"
53,48,48,5,"Невероятная атмосфера, просто потрясающе!"
238,778,778,3,"Ничего особенного, но и не плохо."
163,908,908,2,Еда оказалась довольно разочаровывающей.
253,183,183,1,"Было не ocoo много, но и не было замечательно."
238,763,763,4,"Очень хорошо, очень приятно!"
673,188,188,3,"Неплохо, но ничего особенного."
213,943,943,2,"Переоценено, но не так хорошо."
688,23,23,5,"Невероятная атмосфера, очень весело!"
43,618,618,1,"He было замечательно, даже не было хорошо."
613,783,783,4,"Очень хорошо, музыка была отличной!"
388,358,358,3,"Неплохо, но ничего особенного."
853,903,903,2,"He было замечательно, переоценено."
833,888,888,5,"Невероятное выступление, действительно выдающееся!"
828,703,703,1,Вовсе не было замечательно.
188,923,923,4,"Очень хорошо, очень понравилось!"
568,558,558,3,"Неплохо, но не выделялось."
233,378,378,2,"He было замечательно, даже не было хорошо."
788,393,393,5,"Невероятное выступление, действительно выдающееся!"
213,908,908,5,"Eine unglaubliche Atmosphäre, einfach fantastisch!"
513,698,698,3,"Nichts Besonderes, aber auch nicht schlecht."
663,228,228,2,Das Essen war enttäuschend.
248,708,708,1,"Es war nicht besonders gut, aber auch nicht schlecht."
503,828,828,4,"Sehr gut, sehr angenehm!"
43,913,913,3,"Nicht schlecht, aber nichts Besonderes."
608,418,418,2,"Überschätzt, aber nicht so gut."
858,198,198,5,"Eine unglaubliche Atmosphäre, sehr unterhaltsam!"
328,383,383,1,"Es war nicht besonders gut, nicht mal gut."
683,238,238,4,"Sehr gut, die Musik war großartig!"
358,593,593,3,"Nicht schlecht, aber nichts Herausragendes."
138,233,233,2,"Es war nicht besonders gut, es wurde überschätzt."
158,968,968,5,"Eine unglaubliche Performance, wirklich herausragend!"
543,698,698,1,Es war überhaupt nicht gut.
118,348,348,4,"Sehr gut, hat mir sehr gefallen!"
243,608,608,3,"Nicht schlecht, aber nichts Außergewöhnliches."
443,558,558,2,"Es war nicht besonders gut, nicht mal gut."
393,343,343,5,"Eine unglaubliche Performance, wirklich herausragend!"