id_tag_groupe,id_tag_concert,id_tag_morceau,id_tag_playlist,id_tag_lieu,id_tag_genre,id_tag_sous_genre,"nom_tag"
,,2,,,,,"triste"
,,3,,,,,"joyeux"
,,,,,1,,"jazz"
,,,,,,1,"Hard Rock"
56,,,,,,,"Chien"
,,35,,,,,"Chat"
,,,,24,,,"Maison"
93,,,,,,,"Voiture"
,,,,,,81,"Ordinateur"
11,,,,,,,"Livre"
,17,,,,,,"Jardin"
,,,,,46,,"Amour"
,22,,,,,,"Pomme"
78,,,,,,,"Musique"
,,,,,,62,"École"
37,,,,,,,"Fleur"
,99,,,,,,"Bonheur"
,,,,57,,,"Plage"
84,,,,,,,"Café"
28,,,,,,,"Voyage"
,,,,,,43,"Rêve"
65,,,,,,,"Montagne"
,42,,,,,,"Étoile"
,,,,13,,,"Rire"
,59,,,,,,"Bateau"
21,,,,,,,"Lumière"
,,,,,,73,"Aventure"
48,,,,,,,"Famille"
15,,,,,,,"Soleil"
,,,,97,,,"Paix"
,33,,,,,,"Oiseau"
67,,,,,,,"Nature"
,,,,,,19,"Bonjour"
54,,,,,,,"Espoir"
,29,,,,,,"Eau"
,,,,51,,,"Liberté"
,76,,,,,,"Danse"
63,,,,,,,"Arc-en-ciel"
,,,,,,38,"Sourire"
91,,,,,,,"Ciel"
,57,,,,,,"Cœur"
,,,,49,,,"Rêverie"
,,37,,,,,"Vie"
85,,,,,,,"Joie"
19,,,,,,,"Piano"
,96,,,,,,"Chanson"
,,,,12,,,"Espérance"
72,,,,,,,"Énergie"
,26,,,,,,"Paradis"
38,,,,,,,"Poésie"
,,,,,,83,"Rire"
71,,,,,,,"Nature"
49,,,,,,,"Paix"
,,,,74,,,"Amitié"
32,,,,,,,"Sourire"
89,,,,,,,"Univers"
,,63,,,,,"Voyager"
,,,,,,77,"Belle"
58,,,,,,,"Aventure"
42,,,,,,,"Famille"
,,21,,,,,"Espoir"
67,,,,,,,"Soleil"
,,,,,,23,"Oiseau"
41,,,,,,,"Nature"
16,,,,,,,"Bonjour"
,56,,,,,,"Liberté"
97,,,,,,,"Sourire"
22,,,,,,,"Joie"
,,,,,,39,"Vie"
54,,,,,,,"Rire"
88,,,,,,,"Plage"
,75,,,,,,"École"
,,,,,,61,"Café"
14,,,,,,,"Voyage"
,82,,,,,,"Musique"
47,,,,,,,"Pomme"
,,,,36,,,"Amour"
65,,,,,,,"Maison"
33,,,,,,,"Livre"
,11,,,,,,"Jardin"
,,,,26,,,"Chien"
79,,,,,,,"Chat"
55,,,,,,,"Voiture"
,,,,,,92,"Ordinateur"
27,,,,,,,"Lumière"
,68,,,,,,"Fleur"
,,,,43,,,"Plage"
37,,,,,,,"Café"
71,,,,,,,"Voyage"
,,,,,,58,"Rêve"
49,,,,,,,"Montagne"
22,,,,,,,"Étoile"
,32,,,,,,"Soleil"
,,,,89,,,"Rire"
64,,,,,,,"Bateau"
98,,,,,,,"Lumière"
,,,,,,14,"Aventure"
39,,,,,,,"Famille"
77,,,,,,,"Espoir"
58,,,,,,,"Soleil"
,19,,,,,,"Oiseau"
41,,,,,,,"Nature"
,,,,,,78,"Bonjour"
52,,,,,,,"Liberté"
,45,,,,,,"Perro"
,56,,,,,,"Gato"
,,,,27,,,"Casa"
63,,,,,,,"Coche"
,,,,,,84,"Computadora"
18,,,,,,,"Libro"
,39,,,,,,"Jardín"
,,,,72,,,"Amor"
,81,,,,,,"Manzana"
29,,,,,,,"Música"
,,,,,,53,"Escuela"
37,,,,,,,"Flor"
92,,,,,,,"Felicidad"
,,,,61,,,"Playa"
54,,,,,,,"Café"
26,,,,,,,"Viaje"
,,,,,,48,"Sueño"
72,,,,,,,"Montaña"
,16,,,,,,"Estrella"
,,,,43,,,"Risa"
,63,,,,,,"Barco"
41,,,,,,,"Luz"
,,,,,,89,"Aventura"
57,,,,,,,"Familia"
31,,,,,,,"Sol"
,,,,74,,,"Paz"
68,,,,,,,"Pájaro"
39,,,,,,,"Naturaleza"
,,,,,,12,"Hola"
85,,,,,,,"Esperanza"
24,,,,,,,"Agua"
,,,,57,,,"Libertad"
,76,,,,,,"Baile"
43,,,,,,,"Arcoíris"
,,,,,,95,"Sonrisa"
61,,,,,,,"Cielo"
34,,,,,,,"Corazón"
,,,,28,,,"Ensoñación"
47,,,,,,,"Vida"
71,,,,,,,"Alegría"
,12,,,,,,"Piano"
,,93,,,,,"Canción"
,,,,65,,,"Esperanza"
56,,,,,,,"Energía"
27,,,,,,,"Paraíso"
49,,,,,,,"Poesía"
,,,,,,82,"Risa"
67,,,,,,,"Naturaleza"
35,,,,,,,"Paz"
,,,,51,,,"Amistad"
83,,,,,,,"Sonrisa"
58,,,,,,,"Universo"
,74,,,,,,"Viajar"
,,,,,,23,"Bella"
91,,,,,,,"Aventura"
32,,,,,,,"Familia"
,29,,,,,,"Esperanza"
66,,,,,,,"Sol"
,,,,,,15,"Pájaro"
42,,,,,,,"Naturaleza"
11,,,,,,,"Hola"
,53,,,,,,"Libertad"
,,,,87,,,"Sonrisa"
78,,,,,,,"Alegría"
,23,,,,,,"Vida"
59,,,,,,,"Risa"
86,,,,,,,"Playa"
,41,,,,,,"Escuela"
,,,,,,37,"Café"
28,,,,,,,"Viaje"
63,,,,,,,"Amor"
,,92,,,,,"Música"
,,,,46,,,"Esperanza"
56,,,,,,,"Energía"
14,,,,,,,"Paraíso"
37,,,,,,,"Poesía"
,,,,,,71,"Risa"
48,,,,,,,"Naturaleza"
25,,,,,,,"Paz"
,,,,83,,,"Amistad"
59,,,,,,,"Sonrisa"
72,,,,,,,"Universo"
,,63,,,,,"Viajar"
,,,,,,42,"Bella"
96,,,,,,,"Aventura"
35,,,,,,,"Familia"
,21,,,,,,"Esperanza"
57,,,,,,,"Sol"
,,,,,,31,"Pájaro"
68,,,,,,,"Naturaleza"
27,,,,,,,"Hola"
,43,,,,,,"Libertad"
,,,,75,,,"Sonrisa"
81,,,,,,,"Alegría"
19,,,,,,,"Vida"
,64,,,,,,"Risa"
77,,,,,,,"Playa"
38,,,,,,,"Escuela"
,,,,,,58,"Café"
47,,,,,,,"Viaje"
63,,,,,,,"Hund"
,41,,,,,,"Katze"
,,,,85,,,"Haus"
27,,,,,,,"Auto"
,,,,,,59,"Computer"
38,,,,,,,"Buch"
,94,,,,,,"Garten"
,,,,26,,,"Liebe"
,71,,,,,,"Apfel"
56,,,,,,,"Musik"
,,,,,,18,"Schule"
82,,,,,,,"Blume"
23,,,,,,,"Glück"
,,,,37,,,"Strand"
49,,,,,,,"Kaffee"
14,,,,,,,"Reise"
,,,,,,68,"Traum"
32,,,,,,,"Berg"
,,79,,,,,"Stern"
,,,,45,,,"Lachen"
,51,,,,,,"Boot"
67,,,,,,,"Licht"
,,,,,,93,"Abenteuer"
28,,,,,,,"Familie"
58,,,,,,,"Hoffnung"
,,,,64,,,"Sonne"
39,,,,,,,"Vogel"
76,,,,,,,"Natur"
,,,,,,21,"Hallo"
47,,,,,,,"Hoffnung"
19,,,,,,,"Wasser"
,,,,83,,,"Freiheit"
,64,,,,,,"Tanz"
53,,,,,,,"Regenbogen"
,,,,,,87,"Lächeln"
42,,,,,,,"Himmel"
31,,,,,,,"Herz"
,,,,76,,,"Träumerei"
69,,,,,,,"Leben"
91,,,,,,,"Freude"
25,,,,,,,"Klavier"
,87,,,,,,"Lied"
,,,,29,,,"Hoffnung"
74,,,,,,,"Energie"
17,,,,,,,"Paradies"
36,,,,,,,"Poesie"
,,,,,,55,"Lachen"
81,,,,,,,"Natur"
46,,,,,,,"Frieden"
,,,,62,,,"Freundschaft"
72,,,,,,,"Lächeln"
53,,,,,,,"Universum"
,38,,,,,,"Reisen"
,,,,,,65,"Schön"
59,,,,,,,"Abenteuer"
24,,,,,,,"Familie"
,42,,,,,,"Hoffnung"
76,,,,,,,"Sonne"
,,,,,,27,"Vogel"
15,,,,,,,"Natur"
67,,,,,,,"Hallo"
,57,,,,,,"Freiheit"
,,,,34,,,"Lächeln"
93,,,,,,,"Freude"
31,,,,,,,"Leben"
,,,,89,,,"Lachen"
52,,,,,,,"Strand"
61,,,,,,,"Schule"
,,,,,,43,"Kaffee"
84,,,,,,,"Reise"
38,,,,,,,"Liebe"
,81,,,,,,"Musik"
,,,,56,,,"Hoffnung"
59,,,,,,,"Energie"
29,,,,,,,"Paradies"
,,,,,,72,"Lachen"
47,,,,,,,"Natur"
18,,,,,,,"Frieden"
,,,,37,,,"Paz"
76,,,,,,,"Reisen"
27,,,,,,,"Hallo"
,,,,,,58,"Freiheit"
41,,,,,,,"Lächeln"
75,,,,,,,"Freude"
,,,,82,,,"Himmel"
63,,,,,,,"Boot"
34,,,,,,,"Kaffee"
,58,,,,,,"Schule"
,,,,,,39,"Lachen"
79,,,,,,,"Strand"
23,,,,,,,"Berg"
,,92,,,,,"Sonne"
,,,,67,,,"Vogel"
,54,,,,,,"Natur"
41,,,,,,,"Hallo"
,,19,,,,,"Freiheit"
,,,,,,78,"Lächeln"
62,,,,,,,"Freude"
45,,,,,,,"Leben"
,,,,81,,,"Abenteuer"
,46,,,,,,"Kalb"
,,75,,,,,"Qitta"
,,,,32,,,"Bayt"
,54,,,,,,"Sayyara"
,,,,,,68,"Kompuyutar"
21,,,,,,,"Kitab"
,,86,,,,,"Hadiqa"
,,,,43,,,"Hubb"
,69,,,,,,"Tuffah"
38,,,,,,,"Musiqa"
,,,,,,57,"Madrasa"
74,,,,,,,"Zahra"
27,,,,,,,"Farah"
,,,,82,,,"Shati"
53,,,,,,,"Qahwa"
18,,,,,,,"Safar"
,,,,,,93,"Bahja"
63,,,,,,,"Jabal"
,37,,,,,,"Najm"
,,,,49,,,"Dahikah"
,89,,,,,,"Mashi"
45,,,,,,,"Mu'allim"
,,,,,,28,"Marhala"
71,,,,,,,"Awtar"
32,,,,,,,"Familah"
,,,,61,,,"Amal"
,57,,,,,,"Tayr"
,26,,,,,,"Tabi'a"
,,,,,,48,"Marhaba"
83,,,,,,,"Amal"
39,,,,,,,"Miyah"
,,,,76,,,"Hurriya"
,,67,,,,,"Raqs"
21,,,,,,,"Qaws Qudra"
,,,,,,35,"Tabassum"
58,,,,,,,"Sama"
,14,,,,,,"Qalb"
,,,,31,,,"Tafakkur"
,49,,,,,,"Hayah"
71,,,,,,,"Farah"
,28,,,,,,"Biyano"
,,95,,,,,"Lahn"
,,,,83,,,"Amal"
64,,,,,,,"Qowah"
,36,,,,,,"Janna"
,,,,,,74,"Shi'r"
55,,,,,,,"Tawila"
19,,,,,,,"Qasr"
,,81,,,,,"Tabassum"
,,,,27,,,"Tayr"
68,,,,,,,"Tabi'a"
42,,,,,,,"Hurriya"
,,,,,,56,"'Alam"
,92,,,,,,"Safar"
34,,,,,,,"Jannah"
77,,,,,,,"Daw"
,29,,,,,,"Amal"
,76,,,,,,"Shams"
,,,,46,,,"Hayat"
,53,,,,,,"Tabi'a"
27,,,,,,,"Marhaba"
,,62,,,,,"Hurriya"
,,,,,,28,"Tabassum"
73,,,,,,,"Farah"
42,,,,,,,"Hayah"
,,,,59,,,"Tabassum"
61,,,,,,,"Bahja"
,38,,,,,,"Miyah"
,,,,,,95,"Shi'r"
85,,,,,,,"Dahikah"
41,,,,,,,"Qalb"
,79,,,,,,"Musiqa"
,,,,46,,,"Amal"
56,,,,,,,"Nafas"
14,,,,,,,"Rihla"
37,,,,,,,"Shi'r"
,,,,,,71,"Daw"
48,,,,,,,"Tabi'a"
25,,,,,,,"Salam"
,,,,83,,,"Sahibah"
59,,,,,,,"Basma"
,72,,,,,,"Kawn"
,63,,,,,,"Safar"
,,,,,,42,"Jamil"
96,,,,,,,"Mishwar"
35,,,,,,,"Usra"
,,21,,,,,"Amal"
57,,,,,,,"Shams"
,,,,,,31,"Tayr"
68,,,,,,,"Tabi'a"
27,,,,,,,"Marhaba"
43,,,,,,,"Hurriya"
,,,,75,,,"Basma"
81,,,,,,,"Farah"
19,,,,,,,"Hayah"
64,,,,,,,"Daw"
,77,,,,,,"Shati"
38,,,,,,,"Madrasa"
,,,,,,58,"Qahwa"
47,,,,,,,"Rihla"
32,,,,,,,"Inu"
,68,,,,,,"Neko"
,,,,27,,,"Ie"
46,,,,,,,"Kuruma"
,,,,,,75,"Konpyuta"
57,,,,,,,"Hon"
,83,,,,,,"Niwa"
,,,,49,,,"Ai"
,,71,,,,,"Ringo"
38,,,,,,,"Ongaku"
,,,,,,59,"Gakkō"
84,,,,,,,"Hana"
21,,,,,,,"Kōfuku"
,,,,73,,,"Sutorando"
62,,,,,,,"Kōhī"
14,,,,,,,"Tabi"
,,,,,,46,"Shiawase"
75,,,,,,,"Yama"
,29,,,,,,"Hoshi"
,,,,51,,,"Warai"
,,92,,,,,"Fune"
68,,,,,,,"Hikari"
,,,,,,36,"Bōken"
43,,,,,,,"Kazoku"
27,,,,,,,"Kibō"
,,,,78,,,"Taiyō"
54,,,,,,,"Tori"
41,,,,,,,"Shizen"
,,,,,,62,"Kon'nichiwa"
79,,,,,,,"Kibō"
35,,,,,,,"Mizu"
,,,,83,,,"Jiyū"
,59,,,,,,"Odoru"
21,,,,,,,"Niji"
,,,,,,48,"Hohoemi"
67,,,,,,,"Sora"
,26,,,,,,"Kokoro"
,,,,,,39,"Yume"
49,,,,,,,"Seikatsu"
74,,,,,,,"Yorokobi"
,38,,,,,,"Piano"
,,95,,,,,"Uta"
,,,,28,,,"Kibō"
61,,,,,,,"Enerugī"
17,,,,,,,"Rakuen"
,,,,,,56,"Shiawase"
79,,,,,,,"Naru"
18,,,,,,,"Fukuhei"
,,,,,,47,"Tabi"
83,,,,,,,"Kuruma"
56,,,,,,,"Uchū"
42,,,,,,,"Tabi"
,38,,,,,,"Chikyū"
,,,,,,64,"Kirei"
29,,,,,,,"Bōken"
75,,,,,,,"Kazoku"
,,42,,,,,"Kibō"
76,,,,,,,"Taiyō"
,,,,51,,,"Tabi"
62,,,,,,,"Kibō"
34,,,,,,,"Kazoku"
,81,,,,,,"Hikari"
,,,,,,28,"Hohoemi"
,46,,,,,,"Yorokobi"
57,,,,,,,"Seikatsu"
,19,,,,,,"Kōhī"
68,,,,,,,"Tabi"
35,,,,,,,"Jikan"
,,,,,,42,"Yūki"
51,,,,,,,"Kibō"
27,,,,,,,"Rakuen"
,59,,,,,,"Ongaku"
,,,,76,,,"Gakkō"
43,,,,,,,"Shizen"
72,,,,,,,"Hana"
,37,,,,,,"Umi"
,,,,,,93,"Sora"
54,,,,,,,"Neko"
,89,,,,,,"Taiyō"
,,,,2,,,"Kibō"
83,,,,,,,"Boku"
46,,,,,,,"Inochi"
,,,,,,54,"Tori"
,1,,,,,,"Shizen"
8,,,,,,,"Konnichiwa"
62,,,,,,,"Sora"
39,,,,,,,"Kazoku"
,,95,,,,,"Yama"
,,,,,,71,"Sakura"
38,,,,,,,"Bōken"
75,,,,,,,"Kokoro"
,41,,,,,,"Enerugī"
,,,,89,,,"Yume"
57,,,,,,,"Kibō"
92,,,,,,,"Kazoku"
,,27,,,,,"Taiyō"
,,,,,,64,"Tabi"
36,,,,,,,"Kibō"
9,,,,,,,"Shiawase"
,,44,,,,,"Tabi"
38,,,,,,,"Jëmm"
,72,,,,,,"Mel"
,,,,23,,,"Dëkk"
57,,,,,,,"Kër"
,,,,,,81,"Ndakaru"
34,,,,,,,"Benn"
,45,,,,,,"Tànk"
,,,,87,,,"Ndar"
,52,,,,,,"Yaboy"
39,,,,,,,"Dundu"
,,,,,,68,"Kebb"
82,,,,,,,"Mbind"
27,,,,,,,"Xalis"
,,,,53,,,"Gox"
61,,,,,,,"Fukki"
14,,,,,,,"Sopp"
,,,,,,75,"Nguur"
49,,,,,,,"Mbooloo"
,,29,,,,,"Jullit"
,,,,61,,,"Wàllu"
,,78,,,,,"Doomi"
35,,,,,,,"Kër"
,,,,,,43,"Sopp"
56,,,,,,,"Bës"
,23,,,,,,"Waxtu"
,,45,,,,,"Ndool"
,,,,57,,,"Làmb"
64,,,,,,,"Ngox"
,,31,,,,,"Jigéen"
,48,,,,,,"Jëf"
,,,,,,76,"Bàyyi"
39,,,,,,,"Fukki"
,71,,,,,,"Ngalax"
,,26,,,,,"Jàmm"
,,,,49,,,"Sopp"
,53,,,,,,"Mbind"
37,,,,,,,"Bët"
,,64,,,,,"Wàllu"
,,,,,,45,"Dëkk"
81,,,,,,,"Mbooloo"
29,,,,,,,"Yaboy"
,42,,,,,,"Fukki"
,,,,58,,,"Jëmm"
67,,,,,,,"Ndar"
35,,,,,,,"Mel"
,71,,,,,,"Kër"
,,,,,,26,"Ndakaru"
56,,,,,,,"Benn"
,,32,,,,,"Tànk"
,,,,79,,,"Xalis"
,,48,,,,,"Dundu"
62,,,,,,,"Gox"
,,,,,,43,"Fukki"
75,,,,,,,"Mbind"
41,,,,,,,"Doomi"
,,58,,,,,"Sopp"
,,,,35,,,"Nguur"
79,,,,,,,"Mbooloo"
,,27,,,,,"Waxtu"
,,,,,,68,"Kër"
53,,,,,,,"Jëf"
38,,,,,,,"Bës"
,62,,,,,,"Jàmm"
,,,,41,,,"Ngox"
45,,,,,,,"Jigéen"
68,,,,,,,"Fukki"
,,31,,,,,"Ngalax"
,,,,,,57,"Sopp"
42,,,,,,,"Mbind"
61,,,,,,,"Bët"
,49,,,,,,"Wàllu"
37,,,,,,,"Dëkk"
,,,,75,,,"Mbooloo"
64,,,,,,,"Yaboy"
,79,,,,,,"Fukki"
,,,,,,38,"Jëmm"
45,,,,,,,"Ndar"
56,,,,,,,"Coye"
,27,,,,,,"Kër"
,,,,49,,,"Ndakaru"
62,,,,,,,"Benn"
75,,,,,,,"Tànk"
,38,,,,,,"Xalis"
56,,,,,,,"Dundu"
,,,,,,71,"Gox"
49,,,,,,,"Fukki"
31,,,,,,,"Mbind"
,26,,,,,,"Doomi"
,,,,57,,,"Bës"
68,,,,,,,"Nguur"
,,41,,,,,"Mbooloo"
53,,,,,,,"Waxtu"
,,,,,,64,"Kër"
45,,,,,,,"Jëf"
79,,,,,,,"Bët"
,,37,,,,,"Jàmm"
,,,,68,,,"Ngox"
64,,,,,,,"Jigéen"
42,,,,,,,"Fukki"
,29,,,,,,"Ngalax"
47,,,,,,,"Love"
,68,,,,,,"Music"
,,,,19,,,"Home"
53,,,,,,,"Car"
,,,,,,82,"You"
36,,,,,,,"Book"
,49,,,,,,"Garden"
,,,,94,,,"Law"
,62,,,,,,"Apple"
27,,,,,,,"Music"
,,,,,,75,"School"
58,,,,,,,"Flower"
31,,,,,,,"Sun"
,,,,41,,,"Party"
69,,,,,,,"Coffee"
14,,,,,,,"Journey"
,,,,,,56,"Happiness"
42,,,,,,,"Mountain"
,39,,,,,,"Star"
,,,,71,,,"Smile"
,,87,,,,,"Ship"
54,,,,,,,"Light"
,,,,,,28,"Adventure"
63,,,,,,,"Family"
29,,,,,,,"Hope"
,,,,48,,,"Laughter"
76,,,,,,,"Bird"
,41,,,,,,"Nature"
,,,,,,65,"Hello"
53,,,,,,,"Life"
,24,,,,,,"Water"
,,,,89,,,"Freedom"
62,,,,,,,"Dance"
35,,,,,,,"Rainbow"
,,,,,,57,"Smile"
48,,,,,,,"Sky"
71,,,,,,,"Heart"
,32,,,,,,"Dream"
,,,,67,,,"Travel"
84,,,,,,,"Family"
39,,,,,,,"Hope"
,,,,,,73,"Music"
56,,,,,,,"Energy"
21,,,,,,,"Paradise"
,,,,,,41,"Happiness"
67,,,,,,,"Become"
29,,,,,,,"Fortune"
,,,,83,,,"Journey"
72,,,,,,,"Car"
43,,,,,,,"Universe"
,83,,,,,,"Journey"
35,,,,,,,"Earth"
,,,,,,54,"Beautiful"
59,,,,,,,"Smile"
41,,,,,,,"Life"
,,,,,,68,"Adventure"
72,,,,,,,"Family"
48,,,,,,,"Light"
,29,,,,,,"Sun"
,,,,54,,,"Smile"
61,,,,,,,"Happiness"
39,,,,,,,"Nature"
,,,,,,62,"Hello"
57,,,,,,,"Hope"
36,,,,,,,"Water"
,62,,,,,,"Freedom"
,,,,47,,,"Journey"
54,,,,,,,"Laughter"
,47,,,,,,"Travel"
65,,,,,,,"Family"
,,,,,,31,"Hope"
76,,,,,,,"Music"
52,,,,,,,"Energy"
,83,,,,,,"Paradise"
,,,,29,,,"Happiness"
67,,,,,,,"Become"
41,,,,,,,"Fortune"
,,,,,,75,"Journey"
59,,,,,,,"Car"
43,,,,,,,"Universe"
,83,,,,,,"Journey"
35,,,,,,,"Earth"
,,,,,,54,"Beautiful"
59,,,,,,,"Smile"
41,,,,,,,"Life"
,,,,,,68,"Adventure"
72,,,,,,,"Family"
48,,,,,,,"Light"
,29,,,,,,"Sun"
,,,,54,,,"Smile"
61,,,,,,,"Happiness"
39,,,,,,,"Nature"
,,,,,,62,"Hello"
57,,,,,,,"Hope"
36,,,,,,,"Water"
,62,,,,,,"Freedom"